"","PWSID","ILI","REPORTING_YEAR"
"306","CA4210006",1.568621592,2018
"307","CA1910063",0.755061438,2018
"308","CA2410009",1.773976343,2018
"309","CA3610012",-1.38065906,2018
"310","CA1510001",4.17780019,2018
"311","CA5410003",2.020041594,2018
"312","CA3010046",2.071872319,2018
"313","CA1510006",-1.826362584,2018
"314","CA2310003",2.437459034,2018
"315","CA3610037",0.734026919,2018
"316","CA0410006",2.077746937,2017
"317","CA2410005",8.071983888,2018
"318","CA5510009",0.218327467,2018
"319","CA4410013",0.762077049,2018
"320","CA2410004",0.363191565,2018
"321","CA2710011",3.387260896,2018
"322","CA1910130",0.627857694,2019
"323","CA1610004",2.361644755,2018
"324","CA5010013",6.104471829,2018
"325","CA1010001",5.60779837,2018
"326","CA2010002",0.284632631,2018
"327","CA1810001",3.669249835,2018
"328","CA15100021",0.221045252,2018
"329","CA1049",3.755467516,2019
"330","CA1510029",1.223736838,2018
"331","CA5010017",5.937386575,2018
"332","CA1910042",0.165515618,2018
"333","CA3901111",0.675934645,2018
"334","CA1910245",1.029898723,2018
"335","CA1910026",NA,2017
"336","CA2710001",0.998225047,2019
"337","CA4410011",3.671491785,2019
"338","CA1910194",0.995267211,2019
"339","CA1310004",12.94773888,2019
"340","CA3310002",2.393648141,2019
"341","CA2910004",1.275772745,2019
"342","CA2910006",2.079016509,2019
"343","CA2910023",0.671411028,2019
"344","CA3310051",2.90991305,2019
"345","CA1610003",5.798765543,2017
"346","CA3710018",0.453126018,2019
"347","CA4810003",2.546742412,2019
"348","CA1910234",0.81955471,2019
"349","CA3610064",0.360653942,2019
"350","CA1010003",0.981156717,2019
"351","CA4010001",0.340108926,2019
"352","CA1910019",0.715206701,2019
"353","CAc(""30"", ""10002"")",0.291440599,2019
"354","CA3010079",1.167053442,2019
"355","CA4910005",1.113995681,2019
"356","CA1910179",0.892752702,2019
"357","CA1910003",0.32739239,2019
"358","CA1910126",2.200665925,2019
"359","CA3010017",0.923809573,2019
"360","CA0110008",1.430746651,2019
"361","CA3510001",2.539743551,2019
"362","CA7038",1.622228266,2019
"363","CA4710011",2.078008945,2019
"364","CA2170008",1.10070387,2019
"365","CA4810005",3.591343932,2019
"366","CA5110002",2.532139561,2019
"367","CA3010010",0.928332558,2019
"368","CA2810003",1.871727115,2019
"369","CA0110011",2.909200083,2019
"370","CA3710005",0.521348663,2019
"371","CA3710026",0.656657162,2019
"372","CA2610001",1.054937061,2019
"373","CA4410017",0.834449832,2019
"374","CA5710006",5.445190604,2019
"375","CA1510031",1.550680453,2019
"376","CA1010019",3.074127161,2019
"377","CAc(""301"", ""0064"")",0.876586217,2019
